Step,Current Year,Household ID,Laborers in Household,Migrants from Household,Household Size,Total Income,Local Off-Farm Income,Household Remittances,GTGP and non-GTGP Land Income
2,2018,132,0,1,1,20540.0,0.0,1000,19540.0
2,2018,133,2,1,4,26380.0,0.0,15000,11380.0
2,2018,134,5,1,8,15314.536308898385,0.0,10878.136308898389,4436.4
2,2018,135,1,1,2,17240.0,0.0,0,17240.0
2,2018,136,0,1,4,9854.400000000001,0.0,0,9854.400000000001
2,2018,137,2,1,5,11880.0,0.0,0,11880.0
2,2018,138,3,0,2,5616.000000000003,0.0,0.0,5616.0
2,2018,139,2,1,2,3832.0,0.0,0,3832.0
2,2018,140,2,1,3,13139.200000000004,7800.0,0,5339.2
2,2018,141,2,1,4,7320.0,0.0,0,7320.0
2,2018,142,2,1,3,11592.0,7200.0,0,4392.0
2,2018,143,2,0,3,1488.0,0.0,0.0,1488.0
2,2018,144,2,1,4,15000.0,0.0,0,15000.0
2,2018,145,0,1,2,13840.0,0.0,0,13840.0
2,2018,146,0,0,2,1020.0,0.0,0.0,1020.0
2,2018,148,3,1,3,24620.0,10400.0,5000.0,9220.0
2,2018,149,1,0,1,20440.0,7000.0,0,13440.0
2,2018,150,1,1,1,56856.0,48000.0,0,8856.0
2,2018,151,2,1,5,89120.0,0.0,0,89120.0
2,2018,153,0,1,3,39640.0,0.0,2000,37640.0
2,2018,154,1,0,3,47280.0,28000.0,0.0,19280.0
2,2018,155,1,1,4,27720.0,0.0,15000,12720.0
2,2018,157,0,1,1,3440.0,0.0,0,3440.0
2,2018,159,1,1,2,17008.0,0.0,0,17008.0
2,2018,160,2,1,2,31500.0,26400.0,0,5100.0
2,2018,161,4,1,5,11160.0,2000.0,0,9160.0
2,2018,163,2,1,3,23440.0,10000.0,10000,3440.0
2,2018,165,2,1,5,31234.0,30000.0,0,1234.0
2,2018,166,1,1,2,10620.0,0.0,0.0,10620.0
2,2018,167,2,1,3,8408.0,0.0,5000,3408.0
2,2018,168,2,1,3,1908.0,0.0,0,1908.0
2,2018,169,3,1,6,35786.0,0.0,20000,15786.0
3,2019,1,0,1,2,12480.0,0.0,0,12480.0
3,2019,2,4,1,6,2568.0,0.0,0,2568.0
3,2019,3,1,1,3,37392.0,2000.0,0,35392.0
3,2019,5,3,1,4,27060.0,0.0,0,27060.0
3,2019,6,2,0,4,44980.0,18000.0,0,26980.0
3,2019,8,3,1,5,39340.0,0.0,0,39340.0
3,2019,9,4,1,4,28250.0,11000.0,0,17250.0
3,2019,11,3,1,5,13380.0,0.0,3000,10380.0
3,2019,14,3,1,7,45940.0,33000.0,0,12940.0
3,2019,16,5,0,6,14760.0,1500.0,0,13260.0
3,2019,17,3,1,4,17920.0,0.0,0.0,17920.0
3,2019,18,1,1,2,23000.0,12000.0,5000,6000.0
3,2019,19,0,0,1,23010.0,0.0,0,23010.0
3,2019,22,1,1,5,43520.0,12000.0,0,31520.0
3,2019,25,0,1,4,15288.0,0.0,0,15288.0
3,2019,27,3,1,7,41760.0,0.0,0,41760.0
3,2019,30,0,1,1,33354.4395411949,0.0,11354.4395411949,22000.0
3,2019,31,1,1,3,12480.0,0.0,3000,9480.0
