Years Elapsed,Cumulative Out-Migrants,Instant Out-Migrants,Average Out-Migrants,Total Re-Migrants,Instant Re-Migrants,Average Re-Migrants,Total Marriages,Total Births,Total Deaths,Average Laborers,Average Household Size,Average Income,Population,GTGP Parcels Per Household,Non-GTGP Parcels Per Household
42,606,84,0.8936170212765957,520,90,0.9574468085106383,66.0,223,116,1.8191489361702127,4.223404255319149,20425.55996346193,301,2.3404255319148937,0.1702127659574468
43,613,84,0.8936170212765957,527,92,0.9787234042553191,70.0,233,118,1.8191489361702127,4.308510638297872,20365.328603616148,309,2.3404255319148937,0.1702127659574468
44,621,85,0.9042553191489362,534,96,1.0212765957446808,73.0,237,119,1.8191489361702127,4.329787234042553,20663.411384217317,311,2.3404255319148937,0.1702127659574468
45,624,84,0.8936170212765957,538,96,1.0212765957446808,80.0,238,121,1.8297872340425532,4.329787234042553,20663.411384217317,311,2.3404255319148937,0.1702127659574468
46,634,85,0.9042553191489362,547,99,1.053191489361702,84.0,247,126,1.8191489361702127,4.361702127659575,20663.411384217317,314,2.3404255319148937,0.1702127659574468
47,647,85,0.9042553191489362,560,106,1.127659574468085,85.0,253,134,1.8191489361702127,4.340425531914893,20664.572195159915,312,2.351063829787234,0.1595744680851064
48,658,85,0.9042553191489362,571,112,1.1914893617021276,85.0,259,139,1.8297872340425532,4.351063829787234,20629.97311326048,313,2.351063829787234,0.1595744680851064
49,667,85,0.9042553191489362,580,113,1.202127659574468,89.0,269,141,1.8404255319148937,4.4361702127659575,20579.219239680602,321,2.3617021276595747,0.14893617021276595
50,671,85,0.9042553191489362,584,115,1.2234042553191489,92.0,275,142,1.8404255319148937,4.48936170212766,20536.56119605381,326,2.3617021276595747,0.14893617021276595
51,677,84,0.8936170212765957,591,119,1.2659574468085106,94.0,282,145,1.851063829787234,4.542553191489362,20317.617738889843,331,2.3617021276595747,0.14893617021276595
52,689,86,0.9148936170212766,601,116,1.2340425531914894,98.0,286,151,1.8297872340425532,4.5,20418.89009146203,327,2.3617021276595747,0.14893617021276595
53,706,85,0.9042553191489362,619,122,1.297872340425532,100.0,294,159,1.8617021276595744,4.51063829787234,20831.024096106536,328,2.3617021276595747,0.14893617021276595
54,717,85,0.9042553191489362,630,125,1.3297872340425532,106.0,298,168,1.8936170212765957,4.457446808510638,20698.32742812648,323,2.372340425531915,0.13829787234042554
55,722,83,0.8829787234042553,637,127,1.351063829787234,109.0,305,169,1.9148936170212767,4.542553191489362,20421.10912319467,331,2.372340425531915,0.13829787234042554
